Author,Rating,Helpful_upVotes,Helpful_downVotes,Summary,Review,Compound,Sentiment_label,Negative,Neutral,Positive
smbarone-07808,10.0,47,11,wow tough crowd,looked review see rated low admit initially hooked plot gu parachuting hotel first day made think knew idea hotel owner son made friend guy became assistant sangsik cheered sarang delightful hardworking like job find saying head hermes dont feel like smiling overtime character change gu won thinking service reminded maid manhattani saw people felt writer disrespected people saudi arabia see took relationship prince gu rivalry really country characterwhat like korean drama story always multilayered there often backstory see running throughout explains motivation character tried think reminds made think victorian novel class struggle often one class learns ending arent always happy usually epilogueoh drama made foodie like whats love,0.9675,positive,0.093,0.657,0.25
camron-94759,10.0,21,3,loved start finish,going keep simple butthis show honestly one favourite ive watched show ive seenreally appreciate actor actress beautiful genuinethe story character far come within one another special seeking land amazing made smile laugh cry im really happy way endedalso dont personally understand rating low show brilliant beautiful funny nothing critical allto involved making amazing show thank youand actor actress really amazingthank giving u precious time giving u great memory,0.9946,positive,0.047,0.419,0.533
chilligrrl,10.0,31,6,sweet silly,well put little first blatant fatshaming female flight attendant blatant product placement overcame cute silly somewhat predictable storyline also ml one future husband ok thats lie dream junho one favourite singer im bit biased yuna impressed hyoris homestay kept watching series havent regretted yetthe middle eastern prince eps obviously meant anything satire really super rich person chill see funny side two enormously wealthy friend bickering fun people world stereotype australian outback weirdo like steve irwin paul hogan one take seriously enough give star review see stereotype showsanyway predictable fun show really meant silly romantic fun dont take life seriously enjoy,0.9896,positive,0.092,0.534,0.374
nestorbgd,9.0,13,1,cute enjoyable,really liked show production great story relaxing sweeti ashamed people whatever reason decided degrade show effort behind ityou couldnt even finish first episode expectation started watching show completely fulfilled mine nice romantic comedy adorable cast sweet almost zero cringe unlike business proposal love hate made cringe abundantly yet unrealistically high ratingstrolling banned well unobjective ratingsanyways kudos delivering hoping cute love story feelgood hour,0.9871,positive,0.122,0.422,0.456
shirleyho-08179,7.0,1,0,cute,storyline wasnt novel amazing pretty simple relatively slow nothing exciting also misrepresentation culture earlier episode better researched incorporated drama pretty easy fun watch side character cute side story lead actor good chemistry term romance many green flag way handled conflict overly draggy problem due miscommunication anything overall nice drama watch pas time,0.7883,positive,0.227,0.47,0.303
krotzin,10.0,33,7,jeez louise everyone calm,got see actor else theyve shocked see something rating show like actual world people hardened cant enjoy trope sometimes little corny romantic comedy unreal genuinely wish people would calm enjoy w everything world either dark unwatchable world dark enough ridiculously played worst way think honestly wild people cant enjoy isrant turned randomly sucked immediately simple cute clean fun actually funny actor great lead believable good chemistry dialogue part isnt bad im even invested b plot work definitely hookedhope keep good work,0.9727,positive,0.163,0.464,0.372
Vshivaa,10.0,47,12,pure entertainer,wonderful cast thoroughly enjoyable plot everything k drama fan indeed delicious meal craving k drama addict must watch deserves top k drama list samir arab character perky refreshing would like watch lead cant wait episode bgm lively kicking series like hitting right spot every k drama addict writing really good plot typical k drama plot need reason watching hope rest episode wont disappoint u lot love team king land,0.9766,positive,0.039,0.598,0.363
abujahin,10.0,26,5,ignore hate best rom com possibly ever,youve seen low rating youll probably wonder thats case firstly ignore show past week given much joy laughterthe chemistry two lead chat yoona junho made role ost amazing storyline perfect romcom course going filled cheesy moment thats im gutted show come endevery saturday sunday would look forward king land scene thatll give tear thatll laughing loud thatll want make punch screen worth itjust ignore hateful comment youve seen arab community love kdramas romcoms give show chance wont regret,0.9426,positive,0.101,0.64,0.258
maryltannehill-57282,7.0,6,9,wanted love,love romcoms love junho wanted love series letdown every cliche book originality believe romcoms original watch dali cocky prince see done make romcom shine like lead even cant carry boring plot moment saw episode basically nothing minute marketing piece thailand male lead ever work sister bad one starting feel sorry least seems stick around hotel probably finish disappointed,0.8993,positive,0.122,0.625,0.252
sammyjo-99054,9.0,19,3,light romcom,lot said kdrama stick story leave reference apology already madeif want something fun great chemistry main actor yes little cornycheesy place like rom com laugh forget world outside minute part exaggerated others touching enjoyable show point require lot thinking said partly released one thing know kdrama always twist tale interested see end,0.9614,positive,0.066,0.584,0.351
